RawFile	Plate	Position	RunOrder	SampleNo	Condition
LFQ intensity 317_S322-1015907922-P1-A2	P01	A02	1	1015907922	2
LFQ intensity 317_S322-1015922824-P1-A3	P01	A03	2	1015922824	2
LFQ intensity 317_S322-1014397984-P1-A4	P01	A04	3	1014397984	1
LFQ intensity 317_S322-1015631584-P1-A5	P01	A05	4	1015631584	4
LFQ intensity 317_S322-1015628697-P1-A6	P01	A06	5	1015628697	3
LFQ intensity 317_S322-1015627643-P1-A7	P01	A07	6	1015627643	3
LFQ intensity 317_S322-1015923933-P1-A8	P01	A08	7	1015923933	3
LFQ intensity 317_S322-1015910361-P1-A9	P01	A09	8	1015910361	3
LFQ intensity 317_S322-1014398035-P1-A10	P01	A10	9	1014398035	1
LFQ intensity 317_S322-1015623353-P1-A11	P01	A11	10	1015623353	1
LFQ intensity 317_S322-1015908427-P1-A12	P01	A12	11	1015908427	1
LFQ intensity 317_S322-1014401853-P1-B1	P01	B01	12	1014401853	3
LFQ intensity 317_S322-1014401680-P1-B2	P01	B02	13	1014401680	1
LFQ intensity 317_S322-1014402050-P1-B3	P01	B03	14	1014402050	2
LFQ intensity 317_S322-1015903238-P1-B4	P01	B04	15	1015903238	1
LFQ intensity 317_S322-1014402779-P1-B6	P01	B06	16	1014402779	3
LFQ intensity 317_S322-1015624503-P1-B7	P01	B07	17	1015624503	2
LFQ intensity 317_S322-1015628677-P1-B8	P01	B08	18	1015628677	1
LFQ intensity 317_S322-1015923928-P1-B9	P01	B09	19	1015923928	2
LFQ intensity 317_S322-1014402097-P1-B11	P01	B11	20	1014402097	3
LFQ intensity 317_S322-1015914199-P1-B12	P01	B12	21	1015914199	Pool1
LFQ intensity 317_S322-1015627601-P1-C1	P01	C01	22	1015627601	3
LFQ intensity 317_S322-1015923976-P1-C2	P01	C02	23	1015923976	1
LFQ intensity 317_S322-1015908375-P1-C3	P01	C03	24	1015908375	1
LFQ intensity 317_S322-1015624848-P1-C4	P01	C04	25	1015624848	1
LFQ intensity 317_S322-1014579484-P1-C6	P01	C06	26	1014579484	1
LFQ intensity 317_S322-1014396490-P1-C7	P01	C07	27	1014396490	1
LFQ intensity 317_S322-1014402778-P1-C8	P01	C08	28	1014402778	2
LFQ intensity 317_S322-1015923902-P1-C9	P01	C09	29	1015923902	4
LFQ intensity 317_S322-1015627585-P1-C10	P01	C10	30	1015627585	1
LFQ intensity 317_S322-1015635794-P1-C11	P01	C11	31	1015635794	1
LFQ intensity 317_S322-1015922896-P1-C12	P01	C12	32	1015922896	2
LFQ intensity 317_S322-1014579486-P1-D1	P01	D01	33	1014579486	3
LFQ intensity 317_S322-1015908728-P1-D2	P01	D02	34	1015908728	4
LFQ intensity 317_S322-1015923929-P1-D3	P01	D03	35	1015923929	3
LFQ intensity 317_S322-1015628629-P1-D4	P01	D04	36	1015628629	1
LFQ intensity 317_S322-1014395989-P1-D5	P01	D05	37	1014395989	1
LFQ intensity 317_S322-1014395165-P1-D6	P01	D06	38	1014395165	2
LFQ intensity 317_S322-1015907958-P1-D7	P01	D07	39	1015907958	3
LFQ intensity 317_S322-1015627595-P1-D8	P01	D08	40	1015627595	2
LFQ intensity 317_S322-1014394977-P1-D9	P01	D09	41	1014394977	3
LFQ intensity 317_S322-1015923859-P1-D10	P01	D10	42	1015923859	2
LFQ intensity 317_S322-1015907953-P1-D11	P01	D11	43	1015907953	2
LFQ intensity 317_S322-1015639831-P1-D12	P01	D12	44	1015639831	Pool2
LFQ intensity 317_S322-1015922791-P1-E1	P01	E01	45	1015922791	2
LFQ intensity 317_S322-1014395892-P1-E2	P01	E02	46	1014395892	3
LFQ intensity 317_S322-1015622331-P1-E3	P01	E03	47	1015622331	3
LFQ intensity 317_S322-1015908662-P1-E4	P01	E04	48	1015908662	2
LFQ intensity 317_S322-1014396040-P1-E5	P01	E05	49	1014396040	2
LFQ intensity 317_S322-1015629263-P1-E6	P01	E06	50	1015629263	3
LFQ intensity 317_S322-1015624724-P1-E7	P01	E07	51	1015624724	1
LFQ intensity 317_S322-1015635740-P1-E8	P01	E08	52	1015635740	1
LFQ intensity 317_S322-1015629210-P1-E10	P01	E10	53	1015629210	3
LFQ intensity 317_S322-1015631668-P1-E12	P01	E12	54	1015631668	2
LFQ intensity 317_S322-1014394979-P1-F1	P01	F01	55	1014394979	2
LFQ intensity 317_S322-1015634832-P1-F2	P01	F02	56	1015634832	2
LFQ intensity 317_S322-1014395916-P1-F3	P01	F03	57	1014395916	3
LFQ intensity 317_S322-1015627641-P1-F4	P01	F04	58	1015627641	1
LFQ intensity 317_S322-1015908039-P1-F5	P01	F05	59	1015908039	1
LFQ intensity 317_S322-1025595206-P1-F6	P01	F06	60	1025595206	
LFQ intensity 317_S322-1015922784-P1-F7	P01	F07	61	1015922784	2
LFQ intensity 317_S322-1014396958-P1-F8	P01	F08	62	1014396958	2
LFQ intensity 317_S322-1015622288-P1-F9	P01	F09	63	1015622288	1
LFQ intensity 317_S322-1015622354-P1-F10	P01	F10	64	1015622354	2
LFQ intensity 317_S322-1014401880-P1-F11	P01	F11	65	1014401880	3
LFQ intensity 317_S322-1015914207-P1-F12	P01	F12	66	1015914207	Pool1
LFQ intensity 317_S322-1015927125-P1-G1	P01	G01	67	1015927125	3
LFQ intensity 317_S322-1015627922-P1-G3	P01	G03	68	1015627922	3
LFQ intensity 317_S322-1015635790-P1-G4	P01	G04	69	1015635790	1
LFQ intensity 317_S322-1014397981-P1-G5	P01	G05	70	1014397981	3
LFQ intensity 317_S322-1015907992-P1-G6	P01	G06	71	1015907992	4
LFQ intensity 317_S322-1014396970-P1-G7	P01	G07	72	1014396970	3
LFQ intensity 317_S322-1014402751-P1-G8	P01	G08	73	1014402751	2
LFQ intensity 317_S322-1015629244-P1-G9	P01	G09	74	1015629244	3
LFQ intensity 317_S322-1015922914-P1-G11	P01	G11	75	1015922914	4
LFQ intensity 317_S322-1015627647-P1-G12	P01	G12	76	1015627647	4
LFQ intensity 317_S322-1014396034-P1-H1	P01	H01	77	1014396034	2
LFQ intensity 317_S322-1015908723-P1-H2	P01	H02	78	1015908723	3
LFQ intensity 317_S322-1015623515-P1-H3	P01	H03	79	1015623515	1
LFQ intensity 317_S322-1015624728-P1-H4	P01	H04	80	1015624728	2
LFQ intensity 317_S322-1015629280-P1-H5	P01	H05	81	1015629280	1
LFQ intensity 317_S322-1015922892-P1-H6	P01	H06	82	1015922892	1
LFQ intensity 317_S322-1015624747-P1-H7	P01	H07	83	1015624747	2
LFQ intensity 317_S322-1015907908-P1-H8	P01	H08	84	1015907908	2
LFQ intensity 317_S322-1014579503-P1-H9	P01	H09	85	1014579503	2
LFQ intensity 317_S322-1015634785-P1-H10	P01	H10	86	1015634785	3
LFQ intensity 317_S322-1015627599-P1-H11	P01	H11	87	1015627599	1
LFQ intensity 317_S322-1015639839-P1-H12	P01	H12	88	1015639839	Pool2
LFQ intensity 317_S322-1014402135-P2-A1	P02	A01	89	1014402135	1
LFQ intensity 317_S322-1014395889-P2-A2	P02	A02	90	1014395889	3
LFQ intensity 317_S322-1015908035-P2-A3	P02	A03	91	1015908035	3
LFQ intensity 317_S322-1015624760-P2-A4	P02	A04	92	1015624760	3
LFQ intensity 317_S322-1015624762-P2-A5	P02	A05	93	1015624762	2
LFQ intensity 317_S322-1015627638-P2-A6	P02	A06	94	1015627638	1
LFQ intensity 317_S322-1015925144-P2-A7	P02	A07	95	1015925144	1
LFQ intensity 317_S322-1015634880-P2-A8	P02	A08	96	1015634880	2
LFQ intensity 317_S322-1015908691-P2-A9	P02	A09	97	1015908691	1
LFQ intensity 317_S322-1015621820-P2-A10	P02	A10	98	1015621820	1
LFQ intensity 317_S322-1014402719-P2-A11	P02	A11	99	1014402719	3
LFQ intensity 317_S322-1015908385-P2-A12	P02	A12	100	1015908385	3
LFQ intensity 317_S322-1015903195-P2-B1	P02	B01	101	1015903195	2
LFQ intensity 317_S322-1015908892-P2-B2	P02	B02	102	1015908892	3
LFQ intensity 317_S322-1015908368-P2-B3	P02	B03	103	1015908368	2
LFQ intensity 317_S322-1015635742-P2-B4	P02	B04	104	1015635742	3
LFQ intensity 317_S322-1015635770-P2-B5	P02	B05	105	1015635770	3
LFQ intensity 317_S322-1014396043-P2-B6	P02	B06	106	1014396043	2
LFQ intensity 317_S322-1015922810-P2-B7	P02	B07	107	1015922810	1
LFQ intensity 317_S322-1015908685-P2-B8	P02	B08	108	1015908685	2
LFQ intensity 317_S322-1015922842-P2-B9	P02	B09	109	1015922842	3
LFQ intensity 317_S322-1015627666-P2-B10	P02	B10	110	1015627666	3
LFQ intensity 317_S322-1015914196-P2-B12	P02	B12	111	1015914196	Pool1
LFQ intensity 317_S322-1014401886-P2-C1	P02	C01	112	1014401886	3
LFQ intensity 317_S322-1015628641-P2-C2	P02	C02	113	1015628641	1
LFQ intensity 317_S322-1015622076-P2-C3	P02	C03	114	1015622076	2
LFQ intensity 317_S322-1015623288-P2-C4	P02	C04	115	1015623288	2
LFQ intensity 317_S322-1014396504-P2-C5	P02	C05	116	1014396504	1
LFQ intensity 317_S322-1015908105-P2-C6	P02	C06	117	1015908105	1
LFQ intensity 317_S322-1014402163-P2-C7	P02	C07	118	1014402163	3
LFQ intensity 317_S322-1015627580-P2-C8	P02	C08	119	1015627580	4
LFQ intensity 317_S322-1015629054-P2-C9	P02	C09	120	1015629054	2
