	0
LFQ intensity 424_S322-1015631674-P10-E5	2
LFQ intensity 518_S322-1015914190-P16-F12	Pool1
LFQ intensity 502_S322-1014402102-P11-G11	3
LFQ intensity 521_S322-1015923894-P17-B1	4
LFQ intensity 413_S322-1014394928-P7-A3	2
LFQ intensity 502_S322-1015911842-P11-G8	3
LFQ intensity 418_S322-1015908074-P8-H4	4
LFQ intensity 420_S322-1014397940-P9-H4	1
LFQ intensity 526_S322-1014401882-P6-C4	2
LFQ intensity 511_S322-1014397011-P14-E11	1
LFQ intensity 428_S322-1015923834-P11-A8	4
LFQ intensity 511_S322-1015627590-P14-F8	2
LFQ intensity 502_S322-1015623473-P11-H8	1
LFQ intensity 508_S322-1015639775-P13-H12	Pool2
LFQ intensity 317_S322-1015621812-P3-A3	3
LFQ intensity 317_S322-1015908662-P1-E4	2
LFQ intensity 420_S322-1015623058-P9-C2	1
LFQ intensity 518_S322-1015631425-P16-C11	2
LFQ intensity 502_S322-1014398045-P11-F10	1
LFQ intensity 525_S322-1015624742-P5-E2	3
LFQ intensity 521_S322-1015908419-P17-D6	1
LFQ intensity 525_S322-1015629241-P5-C5	3
LFQ intensity 616_S322-P7-H1-1015922837-reinject	1
LFQ intensity 317_S322-1015623278-P4-A2	2
LFQ intensity 317_S322-1014402780-P3-E1	1
LFQ intensity 526_S322-1015634829-P6-B11	3
LFQ intensity 515_S322-1015640303-P15-H12	Pool2
LFQ intensity 518_S322-1014402752-P16-E7	3
LFQ intensity 317_S322-1015903206-P4-D11	1
LFQ intensity 418_S322-1015908404-P8-E2	1
LFQ intensity 612_S322-1015907962-P6-E12	4
LFQ intensity 317_S322-1015629280-P1-H5	1
LFQ intensity 317_S322-1015631603-P3-E6	1
LFQ intensity 511_S322-1014579443-P14-H11	1
LFQ intensity 518_S322-1015623285-P16-D7	2
LFQ intensity 317_S322-1015908368-P2-B3	2
LFQ intensity 612_S322-1014397942-P6-D10	3
LFQ intensity 616_S322-P8-B9-1015629242-reinject	1
LFQ intensity 428_S322-1015627646-P11-B2	3
LFQ intensity 418_S322-1014397980-P8-E5	2
LFQ intensity 515_S322-1015628682-P15-F7	1
LFQ intensity 511_S322-1014401671-P14-F7	1
LFQ intensity 525_S322-1014395102-P5-B1	1
LFQ intensity 525_S322-1015637658-P5-C12	3
LFQ intensity 424_S322-1014401678-P10-A4	2
